  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
  501   556     1     4004   0  49  0 411819824  41424 -      S                   0 ??         0:01.94 /System/Library/ 10:07PM
  501   557     1     4004   0  55  0 411933088  80144 -      S                   0 ??         0:11.40 /System/Library/ 10:07PM
  501   558     1     4004   0  47  0 411388000  45376 -      S                   0 ??         0:00.30 /System/Library/ 10:07PM
  501   559     1     4004   0  46  0 412058064 136384 -      S                   0 ??         0:08.00 /System/Library/ 10:07PM
  501   560     1     4004   0   4  0 426961008  19536 -      S                   0 ??         0:01.05 /usr/libexec/lsd 10:07PM
  501   563     1     4004   0   4  0 426967888  15136 -      S                   0 ??         0:00.14 /System/Library/ 10:07PM
  262   564     1     4004   0   4  0 426949168   4112 -      S                   0 ??         0:00.06 /usr/libexec/con 10:07PM
  501   565     1     4004   0  31  0 426963344  24096 -      S                   0 ??         0:04.64 /usr/libexec/sec 10:07PM
  501   566     1     4004   0   4  0 426955312   8944 -      S                   0 ??         0:00.12 /usr/libexec/dmd 10:07PM
  501   567     1     4004   0   4  0 426916560   2304 -      S                   0 ??         0:00.01 /System/Library/ 10:07PM
  501   568     1     4004   0  31  0 426962080  26864 -      S                   0 ??         0:01.45 /System/Library/ 10:07PM
  501   569     1     4004   0   4  0 426901936  15840 -      Ss                  0 ??         0:00.12 /System/Library/ 10:07PM
  501   570     1     4004   0   4  0 426961312  11808 -      S                   0 ??         0:00.58 /usr/libexec/sec 10:07PM
  501   571     1     4004   0   4  0 426954000  14032 -      S                   0 ??         0:02.35 /usr/libexec/tru 10:07PM
  501   572     1     4004   0  37  0 427484912  27328 -      S                   0 ??         0:00.43 /System/Library/ 10:07PM
  501   573     1     4004   0  20  0 426952048  16352 -      S                   0 ??         0:00.37 /usr/libexec/blu 10:07PM
  501   574     1     4004   0   4  0 426951504  11632 -      S                   0 ??         0:00.12 /System/Library/ 10:07PM
  501   575     1     4004   0  31  0 426961568  29136 -      S                   0 ??         0:02.20 /usr/libexec/rap 10:07PM
  501   576     1     4004   0  47  0 411794400  29808 -      S                   0 ??         0:00.56 /System/Library/ 10:07PM
  501   577     1     4004   0   4  0 426949168  11104 -      S                   0 ??         0:02.14 /usr/libexec/con 10:07PM
    0   578     1     4004   0  31  0 426926944  13120 -      Ss                  0 ??         0:00.15 /usr/sbin/fileco 10:07PM
    0   579     1     4004   0  31  0 426917776   2128 -      Ss                  0 ??         0:00.02 automountd       10:07PM
  501   580     1     4004   0   4  0 426987568  34304 -      S                   0 ??         0:00.49 /System/Library/ 10:07PM
  501   581     1     4004   0   4  0 426952144  15040 -      S                   0 ??         0:00.34 /System/Library/ 10:07PM
   55   582     1     4004   0  31  0 426916496   1920 -      S                   0 ??         0:00.19 /usr/sbin/distno 10:07PM
  501   583     1     4004   0   4  0 426916672   4000 -      S                   0 ??         0:00.52 /System/Library/ 10:07PM
  501   584     1     4004   0  31  0 426951200  16128 -      S                   0 ??         0:00.26 /System/Library/ 10:07PM
  501   586     1     4004   0  37  0 427109440  39712 -      S                   0 ??         0:00.18 /System/Library/ 10:07PM
  501   587     1     4004   0   4  0 426950272  12192 -      S                   0 ??         0:00.10 /System/Library/ 10:07PM
  501   588     1     4004   0   4  0 426961504  13040 -      S                   0 ??         0:03.10 /System/Library/ 10:07PM
  501   590     1     4004   0   4  0 426968864  30912 -      S                   0 ??         0:00.51 /System/Library/ 10:07PM
  501   591     1     4004   0   4  0 426968016  29920 -      S                   0 ??         0:00.63 /System/Library/ 10:07PM
  501   592     1     4004   0   4  0 426968192  26032 -      S                   0 ??         0:00.62 /System/Library/ 10:07PM
    0   593     1     4004   0   4  0 426950048   6832 -      Ss                  0 ??         0:00.21 /usr/libexec/mob 10:07PM
  501   594     1     4004   0   4  0 426987280  68288 -      S                   0 ??         0:03.48 /System/Library/ 10:07PM
  501   595     1     4004   0   4  0 426950336   4928 -      S                   0 ??         0:00.03 /System/Library/ 10:07PM
  501   596     1     4004   0  31  0 426980848  38000 -      S                   0 ??         0:01.96 /System/Library/ 10:07PM
  501   597     1     4004   0  31  0 426960112  13344 -      S                   0 ??         0:00.50 /usr/libexec/nea 10:07PM
  501   598     1     4004   0   4  0 426951200  14288 -      S                   0 ??         0:00.17 /usr/libexec/Con 10:07PM
  501   599     1     4004   0   4  0 426952224  19664 -      S                   0 ??         0:07.78 /usr/libexec/tri 10:07PM
  501   600     1     4004   0   4  0 426952176  12144 -      S                   0 ??         0:00.18 /usr/libexec/icl 10:07PM
  501   601     1  1004004   0  31  0 426975600  29376 -      S                   0 ??         0:02.46 /System/Library/ 10:07PM
  501   602     1     4004   0   4  0 426960416  15600 -      S                   0 ??         0:01.27 /usr/libexec/pkd 10:07PM
  501   603     1     4004   0   4  0 426961872   8976 -      S                   0 ??         0:00.05 /System/Library/ 10:07PM
  501   604     1     4004   0   4  0 426917616   5392 -      S                   0 ??         0:00.04 /System/Library/ 10:07PM
